date,open,high,close,low,vol,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2014-03-03,3.980,4.070,4.070,3.960,33631.61,2.26,3.964,4.024,4.014,23736.30,28074.18,31682.39,0.82
2014-03-04,4.060,4.130,4.110,4.010,37792.25,0.98,4.004,4.024,4.025,24138.09,28638.85,31848.33,0.92
2014-03-05,4.110,4.120,4.070,4.060,23281.25,-0.97,4.032,4.016,4.033,25632.81,26512.95,31713.39,0.57
2014-03-06,4.070,4.110,4.090,4.010,26391.87,0.49,4.064,4.016,4.044,27795.06,25743.83,32345.22,0.64
2014-03-07,4.090,4.140,4.090,4.060,28769.34,0.00,4.086,4.021,4.053,29973.26,25732.95,32888.10,0.70
2014-03-10,4.050,4.080,4.000,3.960,31089.64,-2.20,4.072,4.018,4.053,29464.87,26600.59,32471.39,0.76
2014-03-11,3.990,4.010,4.000,3.960,19711.65,0.00,4.050,4.027,4.051,25848.75,24993.42,30879.08,0.48
2014-03-12,4.010,4.040,3.990,3.930,17437.25,-0.25,4.034,4.033,4.046,24679.95,25156.38,30044.77,0.42
2014-03-13,3.980,4.180,4.150,3.970,53436.90,4.01,4.046,4.055,4.051,30088.96,28942.01,29864.24,1.30
2014-03-14,4.120,4.130,4.090,4.060,27872.29,-1.45,4.046,4.066,4.050,29909.55,29941.40,29535.02,0.68
2014-03-17,4.110,4.260,4.240,4.090,122104.81,3.67,4.094,4.083,4.054,48112.58,38788.73,33431.45,2.97
2014-03-18,4.210,4.350,4.260,4.180,148199.95,0.47,4.146,4.098,4.061,73810.24,49829.50,39234.17,3.60
2014-03-19,4.240,4.340,4.330,4.170,115708.68,1.64,4.214,4.124,4.070,93464.53,59072.24,42792.60,2.81
2014-03-20,4.300,4.320,4.230,4.210,57591.78,-2.31,4.230,4.138,4.077,94295.50,62192.23,43968.03,1.40
2014-03-21,4.180,4.400,4.350,4.170,181473.02,2.84,4.282,4.164,4.093,125015.65,77462.60,51597.78,4.41
2014-03-24,4.310,4.510,4.410,4.300,179435.88,1.38,4.316,4.205,4.112,136481.86,92297.22,59448.90,4.36
2014-03-25,4.370,4.410,4.360,4.300,71442.79,-1.13,4.336,4.241,4.134,121130.43,97470.34,61231.88,1.74
2014-03-26,4.350,4.470,4.320,4.290,121572.15,-0.92,4.334,4.274,4.154,122303.12,107883.83,66520.10,2.96
2014-03-27,4.300,4.340,4.190,4.180,54464.51,-3.01,4.326,4.278,4.167,121677.67,107986.59,68464.30,1.32
2014-03-28,4.220,4.250,4.160,4.130,109160.61,-0.72,4.288,4.285,4.176,107215.19,116115.42,73028.41,2.65
2014-03-31,4.180,4.300,4.250,4.150,89055.86,2.16,4.256,4.286,4.185,89139.18,112810.52,75799.62,2.17
2014-04-01,4.220,4.300,4.270,4.200,63810.38,0.47,4.238,4.287,4.193,87612.70,104371.57,77100.53,1.55
2014-04-02,4.250,4.290,4.260,4.230,37451.61,-0.23,4.226,4.280,4.202,70788.59,96545.86,77809.05,0.91
2014-04-03,4.260,4.280,4.240,4.150,49899.93,-0.47,4.236,4.281,4.210,69875.68,95776.67,78984.45,1.21
2014-04-04,4.200,4.240,4.230,4.170,29541.36,-0.24,4.250,4.269,4.217,53951.83,80583.51,79023.05,0.72
2014-04-08,4.220,4.260,4.260,4.190,35875.64,0.71,4.252,4.254,4.230,43315.78,66227.48,79262.35,0.87
2014-04-09,4.250,4.290,4.280,4.240,36313.39,0.47,4.254,4.246,4.244,37816.39,62714.54,80092.44,0.88
2014-04-10,4.450,4.570,4.430,4.380,248655.30,3.50,4.288,4.257,4.266,80057.12,75422.86,91653.34,6.05
2014-04-11,4.360,4.590,4.470,4.340,225219.61,0.90,4.334,4.285,4.282,115121.06,92498.37,100242.48,5.48
2014-04-14,4.530,4.640,4.550,4.400,202293.42,1.79,4.398,4.324,4.305,149671.47,101811.65,108963.53,4.92
2014-04-15,4.480,4.550,4.410,4.370,140564.72,-3.08,4.428,4.340,4.313,170609.29,106962.54,109886.53,3.42
2014-04-16,4.370,4.770,4.660,4.360,303097.81,5.67,4.504,4.379,4.333,223966.17,130891.28,117631.42,7.37
2014-04-17,4.610,4.650,4.600,4.540,137528.06,-1.29,4.538,4.413,4.347,201740.72,140898.92,118722.39,3.34
2014-04-18,4.550,4.570,4.500,4.400,103508.75,-2.17,4.544,4.439,4.360,177398.55,146259.81,121018.24,2.52
2014-04-21,4.410,4.550,4.380,4.360,95919.90,-2.67,4.510,4.454,4.362,156123.85,152897.66,116740.58,2.33
2014-04-22,4.360,4.410,4.390,4.290,70244.83,0.23,4.506,4.467,4.361,142059.87,156334.58,111281.03,1.71
2014-04-23,4.370,4.490,4.410,4.330,77264.28,0.46,4.456,4.480,4.363,96893.16,160429.67,111572.11,1.88
2014-04-24,4.400,4.400,4.300,4.300,60644.53,-2.49,4.396,4.467,4.362,81516.46,141628.59,108525.73,1.47
2014-04-25,4.310,4.430,4.200,4.190,70058.23,-2.33,4.336,4.440,4.363,74826.35,126112.45,109305.41,1.70
2014-04-28,4.150,4.150,3.990,3.960,60267.67,-5.00,4.258,4.384,4.354,67695.91,111909.88,106860.76,1.47
2014-04-29,4.000,4.060,4.060,4.000,28663.70,1.75,4.192,4.349,4.345,59379.68,100719.78,103841.16,0.70
2014-04-30,4.060,4.120,4.100,4.040,30120.50,0.98,4.130,4.293,4.336,49950.93,73422.05,102156.66,0.73
2014-05-05,4.090,4.120,4.120,4.050,29070.49,0.49,4.094,4.245,4.329,43636.12,62576.29,101737.61,0.71
2014-05-06,4.110,4.210,4.140,4.090,37360.76,0.48,4.082,4.209,4.324,37096.62,55961.49,101110.65,0.91
2014-05-07,4.110,4.130,4.080,4.060,33686.25,-1.45,4.100,4.179,4.317,31780.34,49738.12,101317.89,0.82
2014-05-08,4.070,4.150,4.070,4.050,30199.12,-0.24,4.102,4.147,4.307,32087.42,45733.55,101034.07,0.73
2014-05-09,4.060,4.090,4.040,4.000,24446.71,-0.74,4.090,4.110,4.295,30952.67,40451.80,100440.73,0.59
2014-05-12,4.070,4.140,4.130,4.050,34958.32,2.23,4.092,4.093,4.280,32130.23,37883.18,89755.88,0.85
2014-05-13,4.130,4.140,4.110,4.090,22771.34,-0.48,4.086,4.084,4.262,29212.35,33154.49,79633.47,0.55
2014-05-14,4.120,4.150,4.120,4.100,23275.91,0.24,4.094,4.097,4.241,27130.28,29455.31,70682.59,0.57
